date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:56	65897/65897	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2001%20Feb%202023%2019:09:02%20GMT	https://www.dealercontrolledleasing.com/	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/index.html	(from )
14:08:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2019:09:01%20GMT	https://www.dealercontrolledleasing.com/robots.txt		(from )
14:08:58	1921/1921	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2019:09:03%20GMT	https://www.dealercontrolledleasing.com/OptOut.a5w	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/OptOut.1c.delayed	(from https://www.dealercontrolledleasing.com/)
14:09:31	7212/7212	U-----	200	untouched ('')	image/png	etag:%2212962b4b714ad81:0%22	https://www.dealercontrolledleasing.com/apple-touch-icon.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/apple-touch-icon.png	(from https://www.dealercontrolledleasing.com/)
14:09:31	1397/1397	U-----	200	untouched ('')	image/png	etag:%2291a2344b714ad81:0%22	https://www.dealercontrolledleasing.com/favicon-32x32.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/favicon-32x32.png	(from https://www.dealercontrolledleasing.com/)
14:09:31	765/765	U-----	200	untouched ('')	image/png	etag:%2294c3324b714ad81:0%22	https://www.dealercontrolledleasing.com/favicon-16x16.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/favicon-16x16.png	(from https://www.dealercontrolledleasing.com/)
14:09:32	291/291	U-----	200	untouched ('')	application/manifest+json	etag:%222965384b714ad81:0%22	https://www.dealercontrolledleasing.com/site.webmanifest	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/site.webmanifest	(from https://www.dealercontrolledleasing.com/)
14:09:32	155845/155845	U-----	200	untouched ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	D:/Documents/My%20Websites/DCL/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://www.dealercontrolledleasing.com/)
14:09:32	5175/5175	U-----	200	untouched ('OK')	image/svg+xml	etag:%2217a890704ad81:0%22	https://www.dealercontrolledleasing.com/safari-pinned-tab.svg	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/safari-pinned-tab.svg	(from https://www.dealercontrolledleasing.com/)
14:09:32	274146/274146	U-----	200	untouched ('OK')	text/css	etag:%22106695915768d81:0%22	https://www.dealercontrolledleasing.com/css/materialdesignicons.min.css	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/css/materialdesignicons.min.css	(from https://www.dealercontrolledleasing.com/)
14:09:32	9742/9742	U-----	200	untouched ('OK')	text/css	etag:%22ccac95915768d81:0%22	https://www.dealercontrolledleasing.com/css/pe-icon-7.css	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/css/pe-icon-7.css	(from https://www.dealercontrolledleasing.com/)
14:10:06	13872/13872	U-----	200	untouched ('OK')	text/css	etag:%22279796915768d81:0%22	https://www.dealercontrolledleasing.com/css/swiper-bundle.min.css	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/css/swiper-bundle.min.css	(from https://www.dealercontrolledleasing.com/)
14:10:07	26475/26475	U-----	200	untouched ('OK')	text/css	etag:%2244996915768d81:0%22	https://www.dealercontrolledleasing.com/css/style.min.css	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/css/style.min.css	(from https://www.dealercontrolledleasing.com/)
14:10:07	1877607/1877607	U-----	200	untouched ('')	text/javascript	etag:2022-03-24%2015:24:46Z	https://www.dealercontrolledleasing.com/javascript/a5.js	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/javascript/a5.js	(from https://www.dealercontrolledleasing.com/)
14:10:07	42/42	U-----	200	untouched ('')	text/javascript	etag:2022-03-24%2015:24:46Z	https://www.dealercontrolledleasing.com/javascript/a5_url.js	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/javascript/a5_url.js	(from https://www.dealercontrolledleasing.com/)
14:10:25	7594/7594	U-----	200	untouched ('OK')	text/css	etag:%220402130a1ed61:0%22	https://www.dealercontrolledleasing.com/js/toastr/toastr.css	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/js/toastr/toastr.css	(from https://www.dealercontrolledleasing.com/)
14:10:25	2351/2351	U-----	200	untouched ('')	image/png	etag:%228012c2dd674ad81:0%22	https://www.dealercontrolledleasing.com/images/logo-dark.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/logo-dark.png	(from https://www.dealercontrolledleasing.com/)
14:10:25	9735/9735	U-----	200	untouched ('')	image/png	etag:%228016de26d145d81:0%22	https://www.dealercontrolledleasing.com/images/dcl_logo_lg.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/dcl_logo_lg.png	(from https://www.dealercontrolledleasing.com/)
14:10:25	222709/222709	U-----	200	untouched ('')	image/png	etag:%22803c8543f564d81:0%22	https://www.dealercontrolledleasing.com/images/features/DCL-most-successful.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/features/DCL-most-successful.png	(from https://www.dealercontrolledleasing.com/)
14:10:25	5202/5202	U-----	200	untouched ('')	image/png	etag:%2231f8478c845d81:0%22	https://www.dealercontrolledleasing.com/images/features/features-bg.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/features/features-bg.png	(from https://www.dealercontrolledleasing.com/)
14:10:25	295140/295140	U-----	200	untouched ('')	image/png	etag:%22021411ae64d81:0%22	https://www.dealercontrolledleasing.com/images/features/DCL-Technology.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/features/DCL-Technology.png	(from https://www.dealercontrolledleasing.com/)
14:10:25	323636/323636	U-----	200	untouched ('')	image/png	etag:%2207469a8ae64d81:0%22	https://www.dealercontrolledleasing.com/images/features/DCL-credit-education-2.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/features/DCL-credit-education-2.png	(from https://www.dealercontrolledleasing.com/)
14:10:25	239888/239888	U-----	200	untouched ('')	image/png	etag:%22807beca6af64d81:0%22	https://www.dealercontrolledleasing.com/images/features/DCL-new-source-income.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/features/DCL-new-source-income.png	(from https://www.dealercontrolledleasing.com/)
14:11:00	324067/324067	U-----	200	untouched ('')	image/png	etag:%22046b313af64d81:0%22	https://www.dealercontrolledleasing.com/images/features/DCL-training.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/features/DCL-training.png	(from https://www.dealercontrolledleasing.com/)
14:11:00	60439/60439	U-----	200	untouched ('')	image/jpeg	etag:%22038881d25fd81:0%22	https://www.dealercontrolledleasing.com/images/team/eddie_hight.jpg	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/eddie_hight.jpg	(from https://www.dealercontrolledleasing.com/)
14:11:00	34033/34033	U-----	200	untouched ('')	image/jpeg	etag:%2201b84e4e066d81:0%22	https://www.dealercontrolledleasing.com/images/team/paul_sansone_jr.jpg	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/paul_sansone_jr.jpg	(from https://www.dealercontrolledleasing.com/)
14:11:00	91731/91731	U-----	200	untouched ('')	image/jpeg	etag:%22f1e23465496cd81:0%22	https://www.dealercontrolledleasing.com/images/team/rick_reeves.jpg	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/rick_reeves.jpg	(from https://www.dealercontrolledleasing.com/)
14:11:34	64718/64718	U-----	200	untouched ('')	image/jpeg	etag:%223cd77de496cd81:0%22	https://www.dealercontrolledleasing.com/images/team/joe_tonzola.jpg	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/joe_tonzola.jpg	(from https://www.dealercontrolledleasing.com/)
14:11:34	314160/314160	U-----	200	untouched ('')	image/png	etag:%2280dfea593e66d81:0%22	https://www.dealercontrolledleasing.com/images/team/MS.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/MS.png	(from https://www.dealercontrolledleasing.com/)
14:11:34	3973/3973	U-----	200	untouched ('')	image/png	etag:%22808885b374bd81:0%22	https://www.dealercontrolledleasing.com/images/team/female-user-profile-picture.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/female-user-profile-picture.png	(from https://www.dealercontrolledleasing.com/)
14:11:34	3847/3847	U-----	200	untouched ('')	image/png	etag:%220143640374bd81:0%22	https://www.dealercontrolledleasing.com/images/team/male-user-profile-picture.png	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/images/team/male-user-profile-picture.png	(from https://www.dealercontrolledleasing.com/)
14:12:08	141834/141834	U-----	200	untouched ('')	application/javascript	etag:%224b646478c845d81:0%22	https://www.dealercontrolledleasing.com/js/swiper-bundle.min.js	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/js/swiper-bundle.min.js	(from https://www.dealercontrolledleasing.com/)
14:12:08	1766/1766	U-----	200	untouched ('')	application/javascript	etag:%2275b447b37a4ad81:0%22	https://www.dealercontrolledleasing.com/js/contact.js	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/js/contact.js	(from https://www.dealercontrolledleasing.com/)
14:12:08	4265/4265	U-----	200	untouched ('')	application/javascript	etag:%22e6525578c845d81:0%22	https://www.dealercontrolledleasing.com/js/app.js	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/js/app.js	(from https://www.dealercontrolledleasing.com/)
14:12:26	92629/92629	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	D:/Documents/My%20Websites/DCL/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://www.dealercontrolledleasing.com/)
14:12:42	11116/11116	U-----	200	untouched ('')	application/javascript	etag:%2201ef2f4ca4d41:0%22	https://www.dealercontrolledleasing.com/js/toastr/toastr.min.js	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/js/toastr/toastr.min.js	(from https://www.dealercontrolledleasing.com/)
14:12:43	1026396/1026396	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22736dd677c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont.eot?v=5.9.55	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont3e71.eot	(from https://www.dealercontrolledleasing.com/css/materialdesignicons.min.css)
14:12:47	78743/78743	U-----	200	untouched ('')	application/javascript	etag:W/%2213397-kBFpUnUH/55mLPZNjjYfNZMIlw0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	D:/Documents/My%20Websites/DCL/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	(from https://www.dealercontrolledleasing.com/)
14:12:59	1026396/1026396	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22736dd677c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont.eot?	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/materialdesignicons-webfontd41d.eot	(from https://www.dealercontrolledleasing.com/css/materialdesignicons.min.css)
14:13:15	325244/325244	U-----	200	untouched ('')	application/font-woff2	etag:%22795e177c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont.woff2?v=5.9.55	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont3e71.woff2	(from https://www.dealercontrolledleasing.com/css/materialdesignicons.min.css)
14:13:16	465188/465188	U-----	200	untouched ('')	application/font-woff	etag:%227bade77c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont.woff?v=5.9.55	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont3e71.woff	(from https://www.dealercontrolledleasing.com/css/materialdesignicons.min.css)
14:13:21	1026176/1026176	U-----	200	untouched ('')	application/font-sfnt	etag:%229317db77c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont.ttf?v=5.9.55	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/materialdesignicons-webfont3e71.ttf	(from https://www.dealercontrolledleasing.com/css/materialdesignicons.min.css)
14:13:33	58680/58680	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22ed19e777c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/Pe-icon-7-stroke.eot?d7yf1v	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/Pe-icon-7-strokebb1d.eot	(from https://www.dealercontrolledleasing.com/css/pe-icon-7.css)
14:13:49	58680/58680	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22ed19e777c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/Pe-icon-7-stroke.eot?	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/Pe-icon-7-stroked41d.eot	(from https://www.dealercontrolledleasing.com/css/pe-icon-7.css)
14:13:50	58556/58556	U-----	200	untouched ('')	application/font-woff	etag:%225bcee77c845d81:0%22	https://www.dealercontrolledleasing.com/fonts/Pe-icon-7-stroke.woff?d7yf1v	D:/Documents/My%20Websites/DCL/www.dealercontrolledleasing.com/fonts/Pe-icon-7-strokebb1d.woff	(from https://www.dealercontrolledleasing.com/css/pe-icon-7.css)
